epoch,loss,val_loss
0,0.00143508474713,0.000938431106482
1,0.000375698834676,0.0059619749794
2,0.000321274255901,0.000717127516656
3,0.0002763395046,0.00104255774719
4,0.00025365399777,0.000672764302424
5,0.000183395179551,0.000674411222955
6,0.000181178500733,0.00122471952519
7,0.000174350337033,0.00617290598613
8,0.000308888125643,0.000736671156625
9,0.000144665740717,0.000757508072257
10,0.000136784982369,0.00230754751786
11,0.00012930089887,0.000638761937941
12,0.000142602881234,0.00296758824744
13,0.000137886726414,0.00221003109601
14,0.000152236447138,0.000761359059479
15,0.00012679873346,0.00252113813512
16,0.00012681250723,0.00429108382498
17,0.000150161655601,0.00208329707583
18,0.000175724140042,0.00104856335973
19,0.000111314775363,0.000955701654595
20,0.000137992332653,0.000617866928862
21,0.000115068163749,0.00282597316134
22,0.000134936513145,0.000749080085264
23,0.000150694715767,0.00178427576235
24,0.000114069772083,0.00099920021035
25,0.000112201884626,0.000616005305542
26,0.000116612701064,0.00103919667259
27,0.000127372111375,0.00127166017092
28,9.89186414649e-05,0.000622316454708
29,0.000106199413367,0.00151147012622
30,0.000117736610087,0.00312284121983
31,0.000133168094125,0.000680164107911
32,0.000134009398287,0.000725760675822
33,0.000103952854114,0.000829011322462
34,0.000114620744691,0.00143525244089
35,0.000129128212661,0.00064001302533
36,0.000106760288446,0.00297138566526
37,0.000113235983906,0.0023023760913
38,0.000119201734161,0.000652221826235
39,9.43912463396e-05,0.000619374890137
40,0.000104700276612,0.000636742887067
41,0.000134810128723,0.0011567767471
42,0.000116268316594,0.00070139413001
43,0.000103625337673,0.000744930578739
44,0.000101747769785,0.00109032191891
45,0.000108758249064,0.000626333572805
46,0.000107919441886,0.000617688998123
47,0.000111028151764,0.000629808108476
48,0.000127586078119,0.000619873556553
49,0.000101243568927,0.000879225956997
50,0.000133105179595,0.000616598793443
51,0.000103902335613,0.000875093111706
52,0.000113867542951,0.000628363844838
53,0.000108471440325,0.00148176859224
54,0.000108270350324,0.000635438771754
55,0.000108615271134,0.000779610334629
56,0.00012302169326,0.000858062521623
57,0.000152094300138,0.000612766508626
58,0.000127812967477,0.00076437860361
59,0.000103776648031,0.00073698949418
60,0.000103326340524,0.000760364536872
61,0.000128694299988,0.00159101180857
62,0.000112951655864,0.000632480099065
63,0.000109856040106,0.000702778451931
64,0.000118172429082,0.00118945934171
65,0.000113523951997,0.000994357685615
66,0.000102017316206,0.00154756859155
67,0.000108505902758,0.000652437800543
68,0.000115987620457,0.00244691153568
69,0.000121432543683,0.000744541743046
70,0.000113151463026,0.000692491925168
71,0.000120871838994,0.00141232604702
72,0.000125602086086,0.00140983466422
73,0.000158060646136,0.000717111805414
74,0.000127376024078,0.000755822082141
75,0.000100307722297,0.00105412796647
76,0.000101841501072,0.000612355293507
77,0.000112720986286,0.000829460528656
78,9.71042364295e-05,0.0012989087513
79,0.000107339096278,0.000612465502757
80,0.000114748657494,0.00153304483832
81,0.000110733312146,0.000618351006716
82,0.000103541578758,0.0006991262564
83,0.000123681119172,0.00113982280337
84,0.000105701787024,0.00110405006122
85,0.000125013594851,0.000917410613435
86,0.000112598017276,0.000750456600047
87,0.000112062251936,0.000891955089528
88,0.00011441622171,0.00064945288422
89,0.000126294060983,0.000667345328768
90,0.000129598609623,0.000649822616159
91,0.000115440555095,0.00268208067069
92,0.000138209041194,0.000794289814927
93,0.000114247045695,0.00140805454703
94,0.000125946462862,0.000788156681399
95,0.000134737746476,0.00174401879123
96,0.000124009642765,0.0023041080638
97,0.000114353066652,0.000884684478572
98,0.00012241493988,0.000652631008132
99,0.000113353074598,0.000911351410522
0,0.00182491259039,0.00123319215519
1,0.000525544606363,0.00324822632392
2,0.000411731684134,0.00160318691959
3,0.000355498348487,0.00379418142931
4,0.000310537777677,0.00153314182978
5,0.000306951963117,0.000835043411963
6,0.000271861247156,0.00138405903179
7,0.000252292602046,0.000934284549134
8,0.000213992835105,0.000734261552045
9,0.00024192495517,0.00458912810356
10,0.000225925319159,0.00149936555351
